year,publisher,title,genres,console,max_players,review_score,sales,price 
2007,Ubisoft,TMNT,Action,Nintendo Wii,1,60,0.16,17.95
2007,Ubisoft,Rayman Raving Rabbids 2,Action,Nintendo Wii,4,67,0.84,17.95
2007,Ubisoft,Victorious Boxers: Revolution,Sports,Nintendo Wii,1,59,0.08,24.95
2007,Ubisoft,Driver: Parallel Lines,Open World,Nintendo Wii,1,59,0.01,24.95
2007,Ubisoft,No More Heroes,Open World,Nintendo Wii,1,83,0.29,17.95
2007,Ubisoft,Surf's Up,Sports,Nintendo Wii,2,64,0.16,16.95
2007,Ubisoft,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,PlayStation 3,4,84,0.35,17.95
2007,Ubisoft,Tom Clancy's Rainbow Six: Vegas,Action,PlayStation 3,2,86,0.49,16.95
2007,Ubisoft,The Elder Scrolls IV: Oblivion,Action-Role,PlayStation 3,1,93,1.2,17.95
2007,Ubisoft,Enchanted Arms,Role-Playing,PlayStation 3,1,64,0.18,17.95
2007,Ubisoft,Surf's Up,Sports,PlayStation 3,4,59,0.04,17.95
2007,Ubisoft,TMNT,Action,X360,1,58,0.28,19.95
2007,Ubisoft,Rayman Raving Rabbids,Action,X360,4,67,0.17,16.95
2007,Ubisoft,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,X360,1,86,0.89,14.95
2007,Ubisoft,Surf's Up,Sports,X360,4,61,0.09,17.95
2008,2K,NHL 2K9,Sports,Nintendo Wii,1,65,0.06,14.95
2008,2K,MLB Power Pros 2008,Sports,Nintendo Wii,2,83,0.12,22.95
2008,2K,BioShock,Action,PlayStation 3,1,94,0.53,17.95
2008,2K,Top Spin 3,Sports,PlayStation 3,1,75,0.08,24.95
2008,2K,NBA 2K9,Sports,PlayStation 3,7,82,0.58,14.95
2008,2K,Major League Baseball 2K9,Sports,X360,1,64,0.58,14.95
2008,2K,NBA 2K9 ,Sports,X360,1,84,1.07,12.95
2008,2K,Sid Meier's Civilization: Revolution,Strategy,X360,1,84,0.49,24.95
2008,Activision,Guitar Hero: On Tour - Decades,Simulation,Nintendo DS,1,72,0.8,17.95
2008,Activision,Guitar Hero: Aerosmith,Simulation,Nintendo Wii,1,73,1.03,14.95
2008,Activision,Guitar Hero: World Tour,Simulation,Nintendo Wii,4,86,2.47,17.95
2008,Activision,Madagascar: Escape 2 Africa,Action,PlayStation 3,4,58,0.1,24.95
2008,Activision,Enemy Territory: Quake Wars,Action,PlayStation 3,1,60,0.24,16.95
2008,Activision,Spider-Man: Web of Shadows,Action,PlayStation 3,1,67,0.2,24.95
2008,Activision,Guitar Hero: World Tour,Simulation,PlayStation 3,4,84,1.04,17.95
2008,Activision,Madagascar: Escape 2 Africa,Action,X360,4,62,0.1,19.95
2008,Activision,Kung Fu Panda,Action,X360,4,75,2.04,9.95
2008,Activision,Call of Duty: World at War,Action,X360,4,84,4.58,29.95
2008,Activision,Guitar Hero: World Tour,Simulation,X360,4,85,1.78,16.95
2008,Atari,N+,Action,Nintendo DS,1,82,0.06,14.95
2008,Atari,Alone in the Dark,Adventure,Nintendo Wii,1,39,0.09,14.95
2008,Atari,Legendary,Action,PlayStation 3,1,50,0.05,19.95
2008,Atari,Legendary,Action,X360,1,47,0.07,17.95
2008,Atari,Alone in the Dark,Adventure,X360,1,58,0.12,14.95
2008,Atari,Dragon Ball Z: Burst Limit,Action,X360,2,72,0.24,17.95
2008,Capcom,Harvey Birdman: Attorney at Law,Adventure,Nintendo Wii,1,60,0.06,14.95
2008,Capcom,Lost Planet: Extreme Condition,Action,PlayStation 3,1,67,0.29,16.95
2008,Capcom,Devil May Cry 4,Action,PlayStation 3,1,84,0.56,19.95
2008,Capcom,Harvey Birdman: Attorney at Law,Adventure,Sony PSP,1,62,0.05,14.95
2008,Capcom,Devil May Cry 4,Action,X360,1,84,0.8,17.95
2008,Disney,Pure,Racing,PlayStation 3,1,83,0.36,17.95
2008,Disney,Pure,Racing,X360,1,85,1.43,12.95
2008,EA,Spore Creatures,Adventure,Nintendo DS,1,65,0.7,14.95
2008,EA,The Sims 2: Apartment Pets,Simulation,Nintendo DS,1,50,0.33,17.95
2008,EA,Ninja Reflex,Action,Nintendo Wii,4,49,0.09,14.95
2008,EA,Boom Blox,Strategy,Nintendo Wii,4,85,0.72,24.95
2008,EA,SimCity Creator,Simulation,Nintendo Wii,1,67,0.37,24.95
2008,EA,Mercenaries 2: World in Flames,Action,PlayStation 3,1,72,0.27,15.95
2008,EA,Need for Speed: Undercover,Racing,PlayStation 3,1,59,0.59,17.95
2008,EA,NASCAR 09,Racing,PlayStation 3,1,65,0.22,22.95
2008,EA,NFL Head Coach 09,Strategy,PlayStation 3,1,64,0.1,14.95
